#      date    value 
 2012-05-03 2.971615 
 2012-05-04  2.41618 
 2012-05-05  2.97141 
 2012-05-06 2.411689 
 2012-05-07 6.428571 
 2012-05-08 5.312493 
 2012-05-09 2.530415 
 2012-05-10 2.123337 
 2012-05-11 2.026288 
 2012-05-12 1.987814 
 2012-05-13 1.966928 
 2012-05-14 1.948791 
 2012-05-15  1.90701 
 2012-05-16 1.887562 
 2012-05-17 1.856882 
 2012-05-18 1.816717 
 2012-05-19 1.785431 
 2012-05-20 1.756262 
 2012-05-21  2.57066 
 2012-05-22 2.138205 
 2012-05-23 1.759564 
 2012-05-24 1.658699 
 2012-05-25 1.629369 
 2012-05-26 1.633296 
 2012-05-27 1.582301 
 2012-05-28 1.541222 
 2012-05-29 2.777567 
 2012-05-30  2.50532 
 2012-05-31 1.984989 
 2012-06-01 3.357204 
 2012-06-02 1.891749 
 2012-06-03 1.540492 
 2012-06-04 1.499496 
 2012-06-05 1.496123 
 2012-06-06 1.376913 
 2012-06-07 1.323663 
 2012-06-08 1.296091 
 2012-06-09 1.275557 
 2012-06-10 1.256966 
 2012-06-11 1.244434 
 2012-06-12 1.247985 
 2012-06-13 1.216216 
 2012-06-14 1.191443 
 2012-06-15 1.172578 
 2012-06-16 1.156284 
 2012-06-17 1.332587 
 2012-06-18 1.284851 
 2012-06-19 1.158625 
 2012-06-20 1.107601 
 2012-06-21 1.093223 
 2012-06-22 1.153256 
 2012-06-23 1.106044 
 2012-06-24 1.119082 
 2012-06-25 1.061066 
 2012-06-26 1.025006 
 2012-06-27 1.005226 
 2012-06-28 0.9908991 
 2012-06-29 0.9829855 
 2012-06-30 1.232394 
 2012-07-01 1.862388 
 2012-07-02 1.483112 
 2012-07-03 1.129817 
 2012-07-04 0.9842927 
 2012-07-05 0.9293242 
 2012-07-06 0.9072816 
 2012-07-07 0.8943565 
 2012-07-08 0.9330507 
 2012-07-09 1.476082 
 2012-07-10 1.123347 
 2012-07-11 0.9304212 
 2012-07-12 0.8647983 
 2012-07-13 0.8397961 
 2012-07-14 0.8740077 
 2012-07-15  1.78299 
 2012-07-16 1.275656 
 2012-07-17 0.9656387 
 2012-07-18 1.261199 
 2012-07-19 1.233092 
 2012-07-20 1.643551 
 2012-07-21 1.135408 
 2012-07-22 0.8700574 
 2012-07-23 0.7830279 
 2012-07-24 0.7607956 
 2012-07-25 0.7720129 
 2012-07-26 0.7584782 
 2012-07-27 1.133444 
 2012-07-28 1.130958 
 2012-07-29 0.8686368 
 2012-07-30 0.7521982 
 2012-07-31 0.7445867 
 2012-08-01 0.799917 
 2012-08-02 0.7341722 
 2012-08-03 0.8632583 
 2012-08-04 0.7897257 
 2012-08-05 3.325777 
 2012-08-06 2.589402 
 2012-08-07 1.119496 
 2012-08-08 0.7765757 
 2012-08-09 4.845377 
 2012-08-10 3.954399 
 2012-08-11 1.504101 
 2012-08-12 0.8627102 
 2012-08-13 0.8152458 
 2012-08-14 0.7711669 
 2012-08-15 0.6708171 
