#      date    value 
 2017-04-01 1.995254 
 2017-04-02 1.145108 
 2017-04-03 0.7768587 
 2017-04-04 0.8297447 
 2017-04-05 1.815171 
 2017-04-06 1.592105 
 2017-04-07 2.323551 
 2017-04-08 1.246008 
 2017-04-09 0.7998192 
 2017-04-10 0.6561085 
 2017-04-11 0.7740402 
 2017-04-12 2.018132 
 2017-04-13 1.229739 
 2017-04-14 0.9391543 
 2017-04-15 0.8477709 
 2017-04-16 0.7555875 
 2017-04-17 0.8087668 
 2017-04-18 0.9063995 
 2017-04-19 0.750028 
 2017-04-20 0.6619502 
 2017-04-21 0.6738591 
 2017-04-22 0.9538435 
 2017-04-23 0.9267318 
 2017-04-24 0.7942662 
 2017-04-25 0.6653603 
 2017-04-26 0.6048607 
 2017-04-27 0.6192755 
 2017-04-28 1.491757 
 2017-04-29 1.398201 
 2017-04-30 6.323951 
 2017-05-01 6.071911 
 2017-05-02 3.186326 
 2017-05-03 1.405512 
 2017-05-04 1.477665 
 2017-05-05 10.15291 
 2017-05-06 5.866964 
 2017-05-07  3.78457 
 2017-05-08 4.251851 
 2017-05-09  5.77596 
 2017-05-10 15.08951 
 2017-05-11 11.16299 
 2017-05-12 18.10646 
 2017-05-13 11.03376 
 2017-05-14 10.02284 
 2017-05-15 9.997445 
 2017-05-16 9.730671 
 2017-05-17 9.110477 
 2017-05-18 8.514499 
 2017-05-19 8.551047 
 2017-05-20 11.44359 
 2017-05-21 20.34791 
 2017-05-22  14.3053 
 2017-05-23 6.579695 
 2017-05-24 6.050036 
 2017-05-25 7.668276 
 2017-05-26 8.615876 
 2017-05-27 5.557915 
 2017-05-28 8.444566 
 2017-05-29 5.871985 
 2017-05-30 7.151947 
 2017-05-31  5.23201 
 2017-06-01 5.083424 
 2017-06-02 4.804671 
 2017-06-03  4.58458 
 2017-06-04  4.40734 
 2017-06-05 4.234996 
 2017-06-06 4.089422 
 2017-06-07 3.924293 
 2017-06-08 3.772769 
 2017-06-09 3.636369 
 2017-06-10 3.510395 
 2017-06-11 3.393558 
 2017-06-12  3.28504 
 2017-06-13 3.184021 
 2017-06-14 3.479743 
 2017-06-15 6.215003 
 2017-06-16 18.28741 
 2017-06-17 5.061646 
 2017-06-18 3.567544 
 2017-06-19 10.00687 
 2017-06-20 4.890815 
 2017-06-21 2.813319 
 2017-06-22 2.709691 
 2017-06-23 2.508545 
 2017-06-24 4.802834 
 2017-06-25 5.540222 
 2017-06-26 2.940464 
 2017-06-27 2.796323 
 2017-06-28  2.93887 
 2017-06-29 2.883239 
 2017-06-30  2.88777 
 2017-07-01 3.609177 
 2017-07-02 7.171576 
 2017-07-03 3.184566 
 2017-07-04 2.563923 
 2017-07-05 2.438097 
 2017-07-06  2.38422 
 2017-07-07 2.374154 
 2017-07-08  2.52399 
 2017-07-09 4.639534 
 2017-07-10 2.680173 
 2017-07-11  2.33365 
 2017-07-12 10.32337 
 2017-07-13 10.28874 
 2017-07-14 9.423715 
 2017-07-15 5.615777 
 2017-07-16 2.981573 
 2017-07-17 2.677431 
 2017-07-18 3.174892 
 2017-07-19 2.864089 
 2017-07-20 2.697811 
 2017-07-21  2.87692 
 2017-07-22 4.779526 
 2017-07-23 4.619838 
 2017-07-24 3.389902 
 2017-07-25  2.73819 
